strength,p_target
0.0,0.004298277035559295
0.02,0.005285253562760772
0.04,0.006506096906377934
0.06,0.008015479208552279
0.08,0.009879932898911647
0.1,0.012180182719021104
0.12,0.015013414740678854
0.15,0.020524681080132723
0.2,0.03439106041332707
0.3,0.09446598496288061
0.4,0.2566201677545905
0.6,0.9043256416916847
0.8,0.9959177076816559
1.0,0.9996359087526798
