n,p_correct_mean
5,0.8822616189718246
9,0.7797775268554688
13,0.7410590350627899
18,0.6892240941524506
23,0.6423433348536491
28,0.6279301866889
33,0.6012089997529984
38,0.5482918992638588
43,0.5039290823042393
48,0.3967413008213043
53,0.2953061554580927
58,0.18037793785333633
63,0.09898062865249813
67,0.04104347596876323
