n,activation_mean
5,0.2730124853551388
9,0.24687109887599945
13,0.21604354493319988
18,0.1878096852451563
23,0.16493558883666992
28,0.1495849583297968
33,0.13507940247654915
38,0.12443292513489723
43,0.11440040729939938
48,0.10700276214629412
53,0.10016220342367887
58,0.0942492401227355
63,0.08923872001469135
67,0.08588497340679169
